,customer message,admin reply
8265,ผมไม่ต้องไปลงทะเบียนหรือทำไรเเล้วใช่ปะครับ เพราะมันลิ้งกับระบบautoไปเเล้ว ,ขอบคุณครับ😀
8267,ขอบคุณครับ😀,ขอบคุณครับ เดี่ยวเข้าไปดูนะครับ😄
8268,ขอบคุณครับ😀,ขอบคุณครับ เดี่ยวเข้าไปดูนะครับ😄
8269,ขอบคุณครับ😀,ขอบคุณครับ เดี่ยวเข้าไปดูนะครับ😄
8270,ขอบคุณครับ😀,ขอบคุณครับ เดี่ยวเข้าไปดูนะครับ😄
8271,ขอบคุณครับ😀,ขอบคุณครับ เดี่ยวเข้าไปดูนะครับ😄
8273,ขอบคุณครับ เดี่ยวเข้าไปดูนะครับ😄,You sent a sticker.
8280,"โทดทีครับ พอดีลืมมือถือไว้ในรถ
อันนี้เติมไม่ทันแล้วใช่ไหมครับ",วิธีฝากเงิน
8281,"โทดทีครับ พอดีลืมมือถือไว้ในรถ
อันนี้เติมไม่ทันแล้วใช่ไหมครับ",วิธีฝากเงิน
8396,"You sent a sticker.
939537871",You sent a sticker.
8397,"You sent a sticker.
939537871",You sent a sticker.
8398,"You sent a sticker.
939537871",You sent a sticker.
8402,สวัสดีค่ะ   สอบถามวิธีการถอนเงินออกจาก port  ของ top trader ค่ะ,ขอบคุณค่ะ  
8405,สอบถามเพิ่มเติมค่ะ  ต้องลงทะเบียนใหม่มั๊ยค่ะ  ถ้าต้องลงใหม่รบกวนขอ รหัสลงทะเบียนด้วยค่ะ  ,"เคยค่ะแต่เป็นของport 0113335
ขอบคุณค่ะ"
8407,"เคยค่ะแต่เป็นของport 0113335
ขอบคุณค่ะ",ติดต่อเจ้าหน้าที่
8409,ติดต่อเจ้าหน้าที่,"เข้าได้แล้วค่ะ  ขอบคุณค่ะ
บริการเร็วดีมากค่ะ  "
8420,อยากทราบว่า เราสามารถดูกราฟราคาของ DRX แบบ real time ได้ทางไหนบ้าง ครับ,"ดูผ่าน efin ได้ไหม ครับ  
ผมดูใน ASPEN มีแบบ end of  day  "
8421,อยากทราบว่า เราสามารถดูกราฟราคาของ DRX แบบ real time ได้ทางไหนบ้าง ครับ,"ดูผ่าน efin ได้ไหม ครับ  
ผมดูใน ASPEN มีแบบ end of  day  "
8423,"ดูผ่าน efin ได้ไหม ครับ  
ผมดูใน ASPEN มีแบบ end of  day  ",You sent a sticker.
8425,You sent a sticker.,ขอบคูณครับ
8427,ขอบคูณครับ,"รับทราบ ครับ
เมื่อสักครู่ผม โอนเงินเข้า port DRX ต้องรอนานไหม เงินถึงจะเข้า port ครับ 
You sent a photo."
8429,"รับทราบ ครับ
เมื่อสักครู่ผม โอนเงินเข้า port DRX ต้องรอนานไหม เงินถึงจะเข้า port ครับ 
You sent a photo.","You sent a photo.
ยังไม่เข้า ครับ"
8430,"รับทราบ ครับ
เมื่อสักครู่ผม โอนเงินเข้า port DRX ต้องรอนานไหม เงินถึงจะเข้า port ครับ 
You sent a photo.","You sent a photo.
ยังไม่เข้า ครับ"
8432,"You sent a photo.
ยังไม่เข้า ครับ",log out -log in แล้ว refresh  หลายครั้งแล้ว ยังไม่เข้า ครับ
8434,log out -log in แล้ว refresh  หลายครั้งแล้ว ยังไม่เข้า ครับ,"You sent a photo.
ผมใช้ QR code อันนี้ โอน ครับ สร้างมาจากระบบ trade ครับ"
8436,"You sent a photo.
ผมใช้ QR code อันนี้ โอน ครับ สร้างมาจากระบบ trade ครับ","You sent a photo.
เงินถูกตัดบัญชี ออกไปแล้ว ครับ
You sent a photo.
ยืนยันการตัดบัญชี ครับ"
8438,"You sent a photo.
เงินถูกตัดบัญชี ออกไปแล้ว ครับ
You sent a photo.
ยืนยันการตัดบัญชี ครับ",ครับ  แล้วอย่างนี้ จะมีคำแนะนำอย่างไรให้ สะดวก รวดเร็ว ในการโอนเงินเข้าครั้งต่อไป แล้วถ้าตอนถอนออกก็ จะติดปัญหาแบบนี้ อีกไหม ครับ
8439,"You sent a photo.
เงินถูกตัดบัญชี ออกไปแล้ว ครับ
You sent a photo.
ยืนยันการตัดบัญชี ครับ",ครับ  แล้วอย่างนี้ จะมีคำแนะนำอย่างไรให้ สะดวก รวดเร็ว ในการโอนเงินเข้าครั้งต่อไป แล้วถ้าตอนถอนออกก็ จะติดปัญหาแบบนี้ อีกไหม ครับ
8440,"You sent a photo.
เงินถูกตัดบัญชี ออกไปแล้ว ครับ
You sent a photo.
ยืนยันการตัดบัญชี ครับ",ครับ  แล้วอย่างนี้ จะมีคำแนะนำอย่างไรให้ สะดวก รวดเร็ว ในการโอนเงินเข้าครั้งต่อไป แล้วถ้าตอนถอนออกก็ จะติดปัญหาแบบนี้ อีกไหม ครับ
8442,ครับ  แล้วอย่างนี้ จะมีคำแนะนำอย่างไรให้ สะดวก รวดเร็ว ในการโอนเงินเข้าครั้งต่อไป แล้วถ้าตอนถอนออกก็ จะติดปัญหาแบบนี้ อีกไหม ครับ,โทรมาได้ เลย ครับ
8444,โทรมาได้ เลย ครับ,"You sent a photo.
เงินเข้าแล้ว ครับ"
8446,"You sent a photo.
เงินเข้าแล้ว ครับ",เข้าใจแล้ว ครับ ขอบคูญ ครับ
8449,เดียวพี่จะฝากเงินเข้า port อีก 5000 บาท ผ่านทาง  SCB นะครับ,"You sent a photo.
เงินเข้าเรียบร้อย ครับ  ใช่ SCB สะดวกกว่า ครับ"
8451,"You sent a photo.
เงินเข้าเรียบร้อย ครับ  ใช่ SCB สะดวกกว่า ครับ",You sent a sticker.
8454,เมื่อสักครู่ พี่โอนเงินเข้า port DRX  อีก 10000 ผ่าน SCB เงินเข้าเรียบร้อย พี่อยากขอปรับวงเงิน เพิ่ม เพราะพี่จะโอนเงินเข้าเพิ่ม อีก ประมาณ 200000  ครับ  ,You sent a sticker.
8456,You sent a sticker.,"You sent a photo.
วงเงินยังไม่ปรับครับ"
8458,"You sent a photo.
วงเงินยังไม่ปรับครับ",You sent a sticker.
8459,"You sent a photo.
วงเงินยังไม่ปรับครับ",You sent a sticker.
8462,วงเงินปรับเรียบร้อย ตั้งแต่วันจันทร์ แล้ว ครับ ขอบคุณครับ,เข้ามาเองเลย
8465,ส่งผิด ครับ,You sent a sticker.
8466,ส่งผิด ครับ,You sent a sticker.
8467,ส่งผิด ครับ,You sent a sticker.
8469,You sent a sticker.,You sent a sticker.
8472,ผมจะฝากเงินเข้า port  DRX ให้ฝากผ่าน QR Code ได้เลย หรือมีช่องทางอื่นไหม ผมไมได้ฝากนานแล้ว เลยไม่แน่ใจ ขอสอบถามให้แน่ใจ ก่อน โอน เงิน ครับ,"แล้ว โอนจาก BBL  ยังเจอปัญญา เรื่อง คำนำหน้าชือ ไม่ตรงกับ port แก้ไขแล้วยัง ครับ
ตามข้อความนี้ ครับ"
8474,"แล้ว โอนจาก BBL  ยังเจอปัญญา เรื่อง คำนำหน้าชือ ไม่ตรงกับ port แก้ไขแล้วยัง ครับ
ตามข้อความนี้ ครับ",รูปอะไรครับ ผม ไม่เข้าใจ รบกวนโทรมาหา จะได้คุยกัน ให้ ชัดเจน 0816334655
8476,รูปอะไรครับ ผม ไม่เข้าใจ รบกวนโทรมาหา จะได้คุยกัน ให้ ชัดเจน 0816334655,You sent a sticker.
8479,You sent a photo.,ได้ครับ เดียวจะ ลองโอน 20000 เข้า port DRX จาก BBL ครับ 
8481,ได้ครับ เดียวจะ ลองโอน 20000 เข้า port DRX จาก BBL ครับ ,You sent a photo.
8483,You sent a photo.,เงินยังไม่เข้า ครับ
8485,เงินยังไม่เข้า ครับ,You sent a sticker.
8488,ยอด 20000 เข้า PORT แล้ว ครับ,เดียวผมจะโอน อีก 20000 จาก SCB ครับ
8490,เดียวผมจะโอน อีก 20000 จาก SCB ครับ,"You sent a photo.
ยอดใหม่ เข้า แล้ว ครับ
สรุปว่า port DRX ของผม  ให้ โอน จาก  SCB สะดวกกว่า"
8492,"You sent a photo.
ยอดใหม่ เข้า แล้ว ครับ
สรุปว่า port DRX ของผม  ให้ โอน จาก  SCB สะดวกกว่า","ขอบคุณครับ
You sent a sticker."
8495,ผมมีปํญหา port DRX ย้ายมา PORT CASH Balance แล้ว  Credit limit  เป็น 0 และ Line Avaliable ติดลบ แก้ไขให้ ด้วย ครับ,You sent a photo.
8497,You sent a photo.,"You sent a photo.
Line Avaliable ยังไม่ได้ ปรับ"
8499,"You sent a photo.
Line Avaliable ยังไม่ได้ ปรับ",รบกวน โทรหา ด้วย ครับ มี เรื่องอยาก ถาม ครับ
8501,รบกวน โทรหา ด้วย ครับ มี เรื่องอยาก ถาม ครับ,You sent a sticker.
8503,You sent a sticker.,มี เจ้าหน้าที่ โทรมาแล้วครับ กำลัง ไปเช็ดหลังบ้าน แล้วจะโทรกลับมา  update ครับ 
8505,มี เจ้าหน้าที่ โทรมาแล้วครับ กำลัง ไปเช็ดหลังบ้าน แล้วจะโทรกลับมา  update ครับ ,ขอสอบถามเรื่องฝากเงินเข้าPORT  ทำจากหน้า WEB ได้เลยไหม ครับ
8507,ขอสอบถามเรื่องฝากเงินเข้าPORT  ทำจากหน้า WEB ได้เลยไหม ครับ,You sent a sticker.
8510,ทำรายการไปแล้ว ต้องรอนานไหม ครับ,You sent a sticker.
8512,You sent a sticker.,รอฝากรอบหน้า ครับ น่าจะสะดวกกว่า 
8514,รอฝากรอบหน้า ครับ น่าจะสะดวกกว่า ,"เงินเข้า แล้ว ครับ
You sent a sticker."
8516,"เงินเข้า แล้ว ครับ
You sent a sticker.",ผมทำผ่าน app Pi แล้ว มันก็ เด้งออกไปหน้า home เลย รบกวนตรวจสอบว่า ผม ทำเรียบร้อยไหม หรือตัองทำอะไรเพิ่มอีกไหม  ครับ
8517,"เงินเข้า แล้ว ครับ
You sent a sticker.",ผมทำผ่าน app Pi แล้ว มันก็ เด้งออกไปหน้า home เลย รบกวนตรวจสอบว่า ผม ทำเรียบร้อยไหม หรือตัองทำอะไรเพิ่มอีกไหม  ครับ
8519,ผมทำผ่าน app Pi แล้ว มันก็ เด้งออกไปหน้า home เลย รบกวนตรวจสอบว่า ผม ทำเรียบร้อยไหม หรือตัองทำอะไรเพิ่มอีกไหม  ครับ,You sent a sticker.
8521,You sent a sticker.,"คืออะไร ครับ
ทำตรงไหน"
8523,"คืออะไร ครับ
ทำตรงไหน","You sent a photo.
มีอะไรต้องทำอีกไหม ครับ"
8525,"You sent a photo.
มีอะไรต้องทำอีกไหม ครับ",You sent a sticker.
8531,"สวัสดีค่ะ
พี่ขอแจ้งเปลี่ยนที่อยู่ติดต่อ/ส่งเอกสารค่ะ ","You sent a photo.
ที่อยู่ใหม่

95/206 หมู่บ้านเพอร์เฟค เพลส (พระรามเก้า-กรุงเทพกรีฑา)
ถนนศรีนครินทร์-ร่มเกล้า
แขวงคลองสองต้นนุ่น
เขตลาดกระบัง
กรุงเทพฯ 10520"
8533,"You sent a photo.
ที่อยู่ใหม่

95/206 หมู่บ้านเพอร์เฟค เพลส (พระรามเก้า-กรุงเทพกรีฑา)
ถนนศรีนครินทร์-ร่มเกล้า
แขวงคลองสองต้นนุ่น
เขตลาดกระบัง
กรุงเทพฯ 10520",ขอบคุณมากค่ะ 🙂
8535,ขอบคุณมากค่ะ 🙂,ขอบคุณมากค่ะ ได้อีเมล์แจ้งแล้วด้วยค่ะ 🙂👏
8538,"สวัสดีค่ะ พี่รบกวนสอบถามค่ะ

ถ้าต้องการเปิดพอร์ต MT4 เพิ่มเพื่อเทรด tfex จะทำได้ไหมคะ 
ปล. ตอนนี้มี MT4 อยู่1อันแล้ว ",โอเคค่ะ
8539,"สวัสดีค่ะ พี่รบกวนสอบถามค่ะ

ถ้าต้องการเปิดพอร์ต MT4 เพิ่มเพื่อเทรด tfex จะทำได้ไหมคะ 
ปล. ตอนนี้มี MT4 อยู่1อันแล้ว ",โอเคค่ะ
8542,สวัสดีค่ะ พี่รบกวนขออัพเดทค่าคอมมิชชั่นในการเทรด tfex s50 และ Go online ทั้ง streaming และ MT4 หน่อยค่ะ,ขอบคุณมากค่ะ 
8545,"สวัสดีค่ะ พี่จะแจ้งขอเพิ่มวงเงินเทรด tfex ใน streaming ค่ะ 

บัญชี 01297410
ขอเพิ่มเป็น 1.5ล้าน ได้ไหมคะ",ขอบคุณค่ะ
8547,ขอบคุณค่ะ,ทำแบบทดสอบเสร็จแล้วค่ะ 🙂
8548,ขอบคุณค่ะ,ทำแบบทดสอบเสร็จแล้วค่ะ 🙂
8550,ทำแบบทดสอบเสร็จแล้วค่ะ 🙂,ส่งคำขอเข้ากลุ่มไปแล้วนะคะ
8551,ทำแบบทดสอบเสร็จแล้วค่ะ 🙂,ส่งคำขอเข้ากลุ่มไปแล้วนะคะ
8552,ทำแบบทดสอบเสร็จแล้วค่ะ 🙂,ส่งคำขอเข้ากลุ่มไปแล้วนะคะ
8553,ทำแบบทดสอบเสร็จแล้วค่ะ 🙂,ส่งคำขอเข้ากลุ่มไปแล้วนะคะ
8555,ส่งคำขอเข้ากลุ่มไปแล้วนะคะ,ขอบคุณมากค่ะ😃
8561,"ดีค้าบ
ขอ บช Demo ทดลองเล่น MT4 พร้อมรหัสหน่อยคับ",0180899 ครับ
8563,0180899 ครับ,"เออแล้ว รหัส 0180899
มันเอาจากตรงไหนนะครับ
Email ป่าว?"
8564,0180899 ครับ,"เออแล้ว รหัส 0180899
มันเอาจากตรงไหนนะครับ
Email ป่าว?"
8566,"เออแล้ว รหัส 0180899
มันเอาจากตรงไหนนะครับ
Email ป่าว?","สอบถามหน่อยครับ 
มันมีระบบ Auto rollover สัญญา Tfex อัตโนมัตไหม?"
8568,"สอบถามหน่อยครับ 
มันมีระบบ Auto rollover สัญญา Tfex อัตโนมัตไหม?","You sent a photo.
มาถึงขั้นตอนนี้
ผมใข้ เลข บช pi กับ pass เดียวกัน
มันเข้าไม่ได้ครับ
หรือต้อว สร้่งขึ้นมาใหม่นะ?
IM
IM"
8569,"สอบถามหน่อยครับ 
มันมีระบบ Auto rollover สัญญา Tfex อัตโนมัตไหม?","You sent a photo.
มาถึงขั้นตอนนี้
ผมใข้ เลข บช pi กับ pass เดียวกัน
มันเข้าไม่ได้ครับ
หรือต้อว สร้่งขึ้นมาใหม่นะ?
IM
IM"
8571,"You sent a photo.
มาถึงขั้นตอนนี้
ผมใข้ เลข บช pi กับ pass เดียวกัน
มันเข้าไม่ได้ครับ
หรือต้อว สร้่งขึ้นมาใหม่นะ?
IM
IM",อ่ออ
8573,อ่ออ,"ได้ละๆ 
You sent a photo.
ข่างบนมันแปลกๆไหม ภาษา
ไม่ต้องสนใจ ใช่มั้ย?
แต่เข้ามาได้ละ
Mt4 ก็เทรดหุ้นได้หรอครับ"
8575,"ได้ละๆ 
You sent a photo.
ข่างบนมันแปลกๆไหม ภาษา
ไม่ต้องสนใจ ใช่มั้ย?
แต่เข้ามาได้ละ
Mt4 ก็เทรดหุ้นได้หรอครับ",อ่ออ
8577,อ่ออ,อ่อ คือแสดงให้ดูเฉยๆแต่เทรดไม่ำด้
8579,อ่อ คือแสดงให้ดูเฉยๆแต่เทรดไม่ำด้,"แล้ว ถ้าจะสร้าง Demo Acc ลองก่อน
ไปทำตรงไหนนะ"
8581,"แล้ว ถ้าจะสร้าง Demo Acc ลองก่อน
ไปทำตรงไหนนะ",IM
8583,IM,"กำลัง ปรับจูนครับ
555
ปกติใข้มMT4 mt5 อยูีแล้ว"
8585,"กำลัง ปรับจูนครับ
555
ปกติใข้มMT4 mt5 อยูีแล้ว",แปลว่ามัน ทำให้ Auto rollover ได้ใข่มั้ย?
8587,แปลว่ามัน ทำให้ Auto rollover ได้ใข่มั้ย?,"อ่ออ
แล้งทาง นี้มีรับไหมครับ
เขียน EA 
จิงๆผมมี EA อยูีแล้ว
แต่มันไม่ สามารถ Rollover เอง
อาจต้องเขียนใหม่"
8589,"อ่ออ
แล้งทาง นี้มีรับไหมครับ
เขียน EA 
จิงๆผมมี EA อยูีแล้ว
แต่มันไม่ สามารถ Rollover เอง
อาจต้องเขียนใหม่",หรือ มีโปรแกรมเมอ ให้ติดต่อหละงไมค์เองก็ได้
8591,หรือ มีโปรแกรมเมอ ให้ติดต่อหละงไมค์เองก็ได้,"อ่ออ
ไม่เปนไรๆ
เดี๋ยว ผมเจอ คุยเองก็ได้ครับ
ผมมี Line แกอยู่แล้ว"
8593,"อ่ออ
ไม่เปนไรๆ
เดี๋ยว ผมเจอ คุยเองก็ได้ครับ
ผมมี Line แกอยู่แล้ว","ตัว Mt5 มี Demo ให้ลองไหมครับ?
ผมทำ Mt4 ได้ละ"
8595,"ตัว Mt5 มี Demo ให้ลองไหมครับ?
ผมทำ Mt4 ได้ละ","You sent a photo.
ตัวนี้ คือ Set50 ที่ไม่ต้อง Roll สัญญาป่าวครับ
เหนใน บช Demo พอดี"
8597,"You sent a photo.
ตัวนี้ คือ Set50 ที่ไม่ต้อง Roll สัญญาป่าวครับ
เหนใน บช Demo พอดี","แบบนี้ผมกถือ ยาวๆได้สิครัง
ไม่ต้องมานั่ง Roll เรื่อยๆ
You sent a photo.
สะดวก นะถ้างั้น
ค่าคอม ถูกกว่า Series H ด้วย
You sent a photo."
8599,"แบบนี้ผมกถือ ยาวๆได้สิครัง
ไม่ต้องมานั่ง Roll เรื่อยๆ
You sent a photo.
สะดวก นะถ้างั้น
ค่าคอม ถูกกว่า Series H ด้วย
You sent a photo.","อ่อออ
พวกค่าธรรมเนียม ก็คือ เหมือนใน Demo เลยใข่มั้ยครัย"
8601,"อ่อออ
พวกค่าธรรมเนียม ก็คือ เหมือนใน Demo เลยใข่มั้ยครัย","Ok
แล้งพวก Blocktrade single stock futures คื SVF ป่าว?"
8603,"Ok
แล้งพวก Blocktrade single stock futures คื SVF ป่าว?","มันเทรดผ่าน Mt5 ใข่มั้ย
คิดค่าคอมเท่าไหร่ครับ "
8612,You sent a photo.,You sent a photo.
8613,You sent a photo.,You sent a photo.
8615,You sent a photo.,You sent a photo.
8617,You sent a photo.,You sent a photo.
8618,You sent a photo.,You sent a photo.
8620,You sent a photo.,You sent a photo.
8621,You sent a photo.,You sent a photo.
8623,You sent a photo.,You sent a sticker.
8624,You sent a photo.,You sent a sticker.
8626,You sent a sticker.,ค่ะ
8628,ค่ะ,ค่ะ
8630,ค่ะ,"ค่ะ
ได้เลยค่ะ"
8631,ค่ะ,"ค่ะ
ได้เลยค่ะ"
8632,ค่ะ,"ค่ะ
ได้เลยค่ะ"
8634,"ค่ะ
ได้เลยค่ะ",8.30 ค่ะ
8636,8.30 ค่ะ,Ka
8637,8.30 ค่ะ,Ka
8639,Ka,You sent a photo.
8641,You sent a photo.,You sent a photo.
8642,You sent a photo.,You sent a photo.
8644,You sent a photo.,You sent a photo.
8646,You sent a photo.,You sent a photo.
8647,You sent a photo.,You sent a photo.
8648,You sent a photo.,You sent a photo.
8649,You sent a photo.,You sent a photo.
8651,You sent a photo.,You sent a photo.
8653,You sent a photo.,Ka
8654,You sent a photo.,Ka
8655,You sent a photo.,Ka
8656,You sent a photo.,Ka
8657,You sent a photo.,Ka
8658,You sent a photo.,Ka
8660,Ka,You sent a sticker.
8662,You sent a sticker.,You sent a photo.
8664,You sent a photo.,You sent a photo.
8665,You sent a photo.,You sent a photo.
8667,You sent a photo.,You sent a photo.
8668,You sent a photo.,You sent a photo.
8670,You sent a photo.,Ka
8671,You sent a photo.,Ka
8674,You sent a photo.,You sent a photo.
8675,You sent a photo.,You sent a photo.
8677,You sent a photo.,รบกวนโทรหาหน่อยค่ะ
8678,You sent a photo.,รบกวนโทรหาหน่อยค่ะ
8679,You sent a photo.,รบกวนโทรหาหน่อยค่ะ
8680,You sent a photo.,รบกวนโทรหาหน่อยค่ะ
8681,You sent a photo.,รบกวนโทรหาหน่อยค่ะ
8683,รบกวนโทรหาหน่อยค่ะ,ค่า ขอบคุณค่า
8686,สอบถามหน่อยค่ะ ถ้าเราอยากแคปรูปพอร์ทที่เห็นชื่อเรา ต้องทำยังไงหรอคะ,ขอเป็นพอร์ต 68 ได้ไหมคะ
8688,ขอเป็นพอร์ต 68 ได้ไหมคะ,You sent a sticker.
8691,You sent a photo.,You sent a photo.
8693,You sent a photo.,You sent a photo.
8695,You sent a photo.,You sent a photo.
8696,You sent a photo.,You sent a photo.
8698,You sent a photo.,You sent a photo.
8699,You sent a photo.,You sent a photo.
8701,You sent a photo.,You sent a photo.
8703,You sent a photo.,Ka
8704,You sent a photo.,Ka
8706,Ka,You sent a photo.
8707,Ka,You sent a photo.
8709,You sent a photo.,มียอดตกคอลไหมคะ
8710,You sent a photo.,มียอดตกคอลไหมคะ
8711,You sent a photo.,มียอดตกคอลไหมคะ
8713,มียอดตกคอลไหมคะ,You sent a photo.
8714,มียอดตกคอลไหมคะ,You sent a photo.
8715,มียอดตกคอลไหมคะ,You sent a photo.
8716,มียอดตกคอลไหมคะ,You sent a photo.
8718,You sent a photo.,You sent a photo.
8720,You sent a photo.,You sent a photo.
8721,You sent a photo.,You sent a photo.
8723,You sent a photo.,You sent a photo.
8724,You sent a photo.,You sent a photo.
8726,You sent a photo.,You sent a photo.
8727,You sent a photo.,You sent a photo.
8729,You sent a photo.,You sent a photo.
8730,You sent a photo.,You sent a photo.
8732,You sent a photo.,"01388010
You sent a photo."
8733,You sent a photo.,"01388010
You sent a photo."
8735,"01388010
You sent a photo.",You sent a photo.
8737,You sent a photo.,พอดีพี่เปลี่ยนโทรศัพท์ใหม่แล้วล็อกกินเข้าสตรีมมิ่งไม่ได้อะค่ะ มีพนักงาน โทรกลับมาอธิบายให้ฟังหน่อยได้ไหมคะมันบอกว่าให้ติดต่อเจ้าหน้าที่
8739,พอดีพี่เปลี่ยนโทรศัพท์ใหม่แล้วล็อกกินเข้าสตรีมมิ่งไม่ได้อะค่ะ มีพนักงาน โทรกลับมาอธิบายให้ฟังหน่อยได้ไหมคะมันบอกว่าให้ติดต่อเจ้าหน้าที่,You sent a photo.
8741,You sent a photo.,01285568
8743,01285568,ได้แล้วค่ะ ขอบคุณค่ะ
8744,01285568,ได้แล้วค่ะ ขอบคุณค่ะ
8746,ได้แล้วค่ะ ขอบคุณค่ะ,You sent a sticker.
8748,You sent a sticker.,You sent a photo.
8750,You sent a photo.,You sent a photo.
8751,You sent a photo.,You sent a photo.
8753,You sent a photo.,You sent a photo.
8754,You sent a photo.,You sent a photo.
8756,You sent a photo.,You sent a photo.
8757,You sent a photo.,You sent a photo.
8759,You sent a photo.,You sent a photo.
8760,You sent a photo.,You sent a photo.
8762,You sent a photo.,You sent a photo.
8763,You sent a photo.,You sent a photo.
8765,You sent a photo.,You sent a photo.
8766,You sent a photo.,You sent a photo.
8768,You sent a photo.,"Ka
You sent a photo."
8769,You sent a photo.,"Ka
You sent a photo."
8771,"Ka
You sent a photo.","You sent a photo.
You sent a photo."
8772,"Ka
You sent a photo.","You sent a photo.
You sent a photo."
8773,"Ka
You sent a photo.","You sent a photo.
You sent a photo."
8775,"You sent a photo.
You sent a photo.",You sent a photo.
8776,"You sent a photo.
You sent a photo.",You sent a photo.
8778,You sent a photo.,You sent a photo.
8779,You sent a photo.,You sent a photo.
8781,You sent a photo.,"แปปนะคะ
เรทได้ถึงแค่ 1 ทุ่มครึ่งหรอคะ"
8783,"แปปนะคะ
เรทได้ถึงแค่ 1 ทุ่มครึ่งหรอคะ",ยังไม่ทราบเลยค่ะ ติดต่อคุณ ฉัตรเฉลิมได้ไหมคะ
8785,ยังไม่ทราบเลยค่ะ ติดต่อคุณ ฉัตรเฉลิมได้ไหมคะ,You sent a photo.
8787,You sent a photo.,You sent a photo.
8789,You sent a photo.,You sent a photo.
8790,You sent a photo.,You sent a photo.
8792,You sent a photo.,You sent a photo.
8793,You sent a photo.,You sent a photo.
8795,You sent a photo.,You sent a photo.
8797,You sent a photo.,You sent a photo.
8798,You sent a photo.,You sent a photo.
8800,You sent a photo.,You sent a photo.
8801,You sent a photo.,You sent a photo.
8802,You sent a photo.,You sent a photo.
8804,You sent a photo.,You sent a photo.
8805,You sent a photo.,You sent a photo.
8806,You sent a photo.,You sent a photo.
8808,You sent a photo.,You sent a photo.
8809,You sent a photo.,You sent a photo.
8810,You sent a photo.,You sent a photo.
8811,You sent a photo.,You sent a photo.
8812,You sent a photo.,You sent a photo.
8814,You sent a photo.,"You sent a photo.
You sent a photo."
8815,You sent a photo.,"You sent a photo.
You sent a photo."
8816,You sent a photo.,"You sent a photo.
You sent a photo."
8818,"You sent a photo.
You sent a photo.",You sent a photo.
8819,"You sent a photo.
You sent a photo.",You sent a photo.
8820,"You sent a photo.
You sent a photo.",You sent a photo.
8822,You sent a photo.,You sent a photo.
8823,You sent a photo.,You sent a photo.
8825,You sent a photo.,You sent a photo.
8826,You sent a photo.,You sent a photo.
8827,You sent a photo.,You sent a photo.
8829,You sent a photo.,You sent a photo.
8830,You sent a photo.,You sent a photo.
8832,You sent a photo.,สวัสดีค่ะ เข้ายืนยันข้อมูลสถานที่ทำงานที่แอพพลิเคชั่นไพน์ไม่ได้
8834,สวัสดีค่ะ เข้ายืนยันข้อมูลสถานที่ทำงานที่แอพพลิเคชั่นไพน์ไม่ได้,"You sent a photo.
รหัสไปรษณีย์ ใส่ไม่ได้ค่ะเลยกดบันทึกไม่ได้"
8836,"You sent a photo.
รหัสไปรษณีย์ ใส่ไม่ได้ค่ะเลยกดบันทึกไม่ได้",ล็อกอินด้วย E-mail ค่ะ
8838,ล็อกอินด้วย E-mail ค่ะ,ค่ะ
8839,ล็อกอินด้วย E-mail ค่ะ,ค่ะ
8841,ค่ะ,"You sent a photo.
ไม่ขึ้นค่ะ"
8843,"You sent a photo.
ไม่ขึ้นค่ะ","You sent a photo.
ยังไม่ได้เลยค่ะ"
8844,"You sent a photo.
ไม่ขึ้นค่ะ","You sent a photo.
ยังไม่ได้เลยค่ะ"
8846,"You sent a photo.
ยังไม่ได้เลยค่ะ",กรอกแล้วมันก็ติดที่เดิมไงคะ
8848,กรอกแล้วมันก็ติดที่เดิมไงคะ,You sent a photo.
8850,You sent a photo.,ค่ะ
8851,You sent a photo.,ค่ะ
8853,ค่ะ,You sent a photo.
8855,You sent a photo.,"You sent a photo.
Login ไม่ได้ค่ะ
01388018
รหัสนี้ใช่ไหมคะที่ต้องเข้าไปทำแบบสอบถาม"
8856,You sent a photo.,"You sent a photo.
Login ไม่ได้ค่ะ
01388018
รหัสนี้ใช่ไหมคะที่ต้องเข้าไปทำแบบสอบถาม"
8857,You sent a photo.,"You sent a photo.
Login ไม่ได้ค่ะ
01388018
รหัสนี้ใช่ไหมคะที่ต้องเข้าไปทำแบบสอบถาม"
8859,"You sent a photo.
Login ไม่ได้ค่ะ
01388018
รหัสนี้ใช่ไหมคะที่ต้องเข้าไปทำแบบสอบถาม","You sent a photo.
ล็อคแล้วค่ะ"
8860,"You sent a photo.
Login ไม่ได้ค่ะ
01388018
รหัสนี้ใช่ไหมคะที่ต้องเข้าไปทำแบบสอบถาม","You sent a photo.
ล็อคแล้วค่ะ"
8861,"You sent a photo.
Login ไม่ได้ค่ะ
01388018
รหัสนี้ใช่ไหมคะที่ต้องเข้าไปทำแบบสอบถาม","You sent a photo.
ล็อคแล้วค่ะ"
8863,"You sent a photo.
ล็อคแล้วค่ะ","You sent a sticker.
You sent a photo."
8865,"You sent a sticker.
You sent a photo.",ไม่ได้ค่ะ
8867,ไม่ได้ค่ะ,You sent a sticker.
8870,You sent a photo.,You sent a photo.
8871,You sent a photo.,You sent a photo.
8873,You sent a photo.,You sent a photo.
8874,You sent a photo.,You sent a photo.
8876,You sent a photo.,You sent a photo.
8878,You sent a photo.,You sent a photo.
8879,You sent a photo.,You sent a photo.
8881,You sent a photo.,You sent a photo.
8883,You sent a photo.,You sent a photo.
8884,You sent a photo.,You sent a photo.
